A.1,A.2,A.3,A.4,B.1,B.2,B.3,B.4,C.1,C.2,C.3,C.4,D.1,D.2,D.3,D.4,E.1,E.2,E.3,E.4,F.1,F.2,F.3,F.4
16.3975,16.2916,15.7341,16.2186,15.8694,16.256,15.8652,16.3635,16.0025,15.7221,16.1388,16.4395,16.0668,15.9917,15.9074,15.9552,15.7747,15.294,16.1338,12.757,15.9083,15.8957,15.7954,15.7002
16.2322,16.7148,16.2045,16.1115,15.5886,16.614,16.0871,16.0319,15.6352,17.642,16.0859,16.8591,16.7632,15.7931,16.0172,16.4307,12.27,12.7023,12.2413,13.5236,11.488,14.4619,13.1167,14.8865
15.4676,15.2462,16.0505,15.4478,16.3411,16.9733,16.7848,16.4028,15.9674,15.8815,15.427,14.9695,16.6748,16.6934,16.8337,16.7787,15.5729,15.0006,15.4591,13.8869,15.2663,15.0646,15.4132,15.7909
17.0067,16.6653,16.1832,16.3007,16.0624,15.8656,15.785,15.9164,15.62,16.0051,16.3138,16.2466,15.9025,15.6969,15.2208,15.5146,15.1228,15.2893,14.7851,13.5995,12.8383,15.2759,15.0085,15.0843
13.1679,14.6319,14.2175,12.853,12.4672,13.632,12.9827,13.1863,12.165,13.2131,13.7367,14.1355,13.8745,14.0846,14.2436,14.0672,13.6037,13.7393,13.6279,13.415,13.7671,13.4372,13.5418,14.959
18.9329,18.3948,18.6943,18.921,19.0634,19.5615,19.1919,19.3465,18.6259,18.7127,18.7878,18.2785,19.3273,19.3577,19.1415,19.4392,18.6046,17.8235,18.6204,16.3188,17.3489,17.912,18.3504,18.6534
16.7576,16.8567,16.7936,17.0396,16.2734,16.7523,16.1234,16.3259,17.1837,16.8906,17.2754,16.942,16.5976,16.0812,16.0128,16.1014,16.0539,15.5084,16.1747,16.0547,15.1131,14.7371,14.9362,15.7015
13.5197,16.228,15.3514,12.9906,15.9429,15.8276,15.4611,16.4288,12.9731,14.4531,15.8256,15.1577,14.5536,16.0608,16.1,16.1672,15.162,14.4526,13.1402,14.5332,15.9784,17.3191,15.9879,16.805
17.6,17.4539,17.3053,17.7803,17.1961,17.711,17.2663,17.7083,17.7531,16.9897,17.6121,17.5978,17.3139,17.2933,17.2142,17.4634,17.5672,17.6122,17.4465,17.7758,17.2779,17.3864,17.6109,17.4511
19.6738,19.7447,19.6716,19.7755,18.9978,19.7455,19.1732,19.4491,19.8254,19.1293,19.6708,19.786,19.7993,19.1268,19.1419,19.3087,19.1878,19.2048,19.217,18.8149,17.6843,18.1687,18.5087,18.0246
15.5528,15.825,15.6758,14.8165,16.3262,15.4174,16.2651,15.5528,13.4497,14.4263,14.9311,15.2711,15.5358,15.7864,15.8231,16.1585,14.1084,12.1339,14.9119,13.8866,15.4128,14.9609,16.4082,15.3932
17.8246,17.5218,17.5167,17.6983,17.1194,17.1957,16.9368,17.4592,18.0371,17.6539,17.7961,18.0393,17.4021,17.5563,17.5646,17.591,16.9587,16.9803,17.4182,17.0405,16.5505,16.7875,16.6994,17.0782
16.8207,17.8914,17.7976,16.4457,15.9592,16.6372,15.8727,16.3275,17.732,18.0057,17.7967,18.1679,16.6083,16.2315,15.4517,15.9845,16.5801,15.6589,16.8534,15.4979,13.7321,13.3824,13.4256,13.3449
16.1021,16.7753,17.6896,16.9613,17.8087,17.8223,17.4685,18.0192,16.9957,16.0709,16.7239,16.3868,17.1609,16.9384,16.7192,16.7239,18.1881,18.5443,18.2276,18.7628,17.8997,17.9669,17.6535,17.5332
16.7248,16.8187,16.753,16.8403,16.7083,17.0201,16.8322,16.8208,16.6759,16.6545,16.933,16.9251,16.711,16.9566,16.5688,16.732,15.4299,15.4066,15.4918,14.2305,16.2285,15.9142,16.4777,16.2928
16.2289,15.5693,15.6038,16.3532,15.512,15.4795,15.24,15.6391,15.6806,15.9474,16.0043,15.4704,15.4065,15.3024,15.7084,15.4368,14.363,15.0469,14.2739,13.8517,13.6291,14.4306,14.9905,15.1973
15.3201,15.0289,14.8493,14.6867,14.1622,14.4969,14.0971,14.8433,14.9889,14.4295,14.9674,14.7583,14.4905,14.2651,14.6898,14.3981,12.8281,13.1437,13.4713,12.6436,13.1232,14.7686,14.431,12.5012
15.2587,14.0065,13.9189,13.7728,15.7073,15.5556,15.7648,15.7622,13.2098,13.2377,14.0121,12.7978,15.3846,15.5476,15.4201,15.5761,14.6416,15.4359,14.8245,13.364,16.5307,16.4628,16.5276,15.5245
15.2913,15.0918,15.0291,15.2896,15.0419,15.3514,15.0527,15.0449,15.5311,15.6522,15.6375,15.8134,15.4205,15.3081,15.5221,15.4332,15.6009,15.8054,15.624,15.9286,15.1571,15.4988,15.6995,15.6135
15.4419,15.6122,16.0096,14.5905,14.7789,14.2696,13.984,14.2726,15.6909,15.5458,16.2465,15.3856,15.4245,16.0152,15.338,15.4512,17.7853,18.2419,18.1606,18.3873,18.9858,18.8061,18.4022,17.8298
16.6861,16.789,17.2245,17.5366,17.8016,18.0774,18.0198,17.8887,17.1757,16.7275,17.5388,16.7562,17.8531,18.0488,18.1606,18.2965,17.6298,16.9949,17.9614,16.4596,17.4437,18.1077,18.3766,18.3004
18.0993,17.7656,17.7622,17.1174,17.1694,17.603,17.0764,17.5223,18.3195,18.1698,18.506,18.3647,17.9106,17.693,17.8498,17.7805,18.4596,18.5764,18.7578,17.9835,17.8024,17.6902,18.0048,18.0214
16.6985,17.1523,16.4374,16.5889,15.7269,16.4437,16.4911,16.0208,17.0131,16.9962,17.3655,17.1774,16.6224,16.7988,16.4425,16.9826,16.6538,16.8073,16.6824,16.4748,17.286,16.8936,16.8456,16.7129
16.7608,16.5249,16.5976,16.8169,16.8831,16.4766,16.9813,16.4255,17.1865,16.2474,15.2614,16.2526,16.2122,16.5278,17.8381,17.1788,17.633,18.0531,16.9361,17.224,17.8414,17.9644,17.7257,17.8866
15.9847,16.7974,16.0279,15.6495,15.3966,15.7558,15.2477,15.6911,16.6612,17.1799,16.2742,16.4674,15.4649,15.3403,15.4643,15.6035,12.4479,13.2125,12.4272,12.6377,13.2251,11.9078,12.9359,14.0579
15.9765,17.0509,16.6194,15.1059,15.9131,16.517,15.5961,15.9637,15.3886,16.3905,16.6535,16.826,15.944,15.8671,15.0821,15.5719,15.0463,13.9829,16.0119,13.8307,15.6887,15.627,16.2115,15.5394
14.7676,15.7646,15.5293,14.6102,14.6424,14.937,14.055,13.6844,13.6364,15.1707,15.832,15.8379,14.8286,12.8728,11.8185,13.1863,14.4723,13.1843,15.0737,13.128,11.6306,13.144,14.2172,13.7914
14.7206,17.816,17.2292,16.0718,17.9738,17.0177,17.7303,17.7927,13.2233,17.3636,17.7354,17.6938,17.8522,17.7353,17.4811,17.6824,15.607,13.7032,16.6412,13.1505,14.5208,14.3718,17.315,17.8159
18.4115,18.671,18.4336,18.3996,17.9855,18.4222,17.9549,18.2025,18.6438,18.6698,18.7249,18.9886,18.7006,18.0536,18.0553,18.3146,17.7149,16.7724,17.6272,17.4286,16.9584,16.6837,17.2145,17.4619
14.7906,17.0958,16.1292,15.0708,15.8518,16.4039,15.9812,16.0159,16.2437,16.8802,16.1157,17.3819,16.8971,16.2252,15.9102,16.4279,15.4249,15.9427,15.2589,15.4126,15.188,15.2417,16.2354,16.0648
16.7525,17.728,18.3127,17.5759,18.6401,18.9753,18.6312,18.654,17.3369,17.6976,17.7404,17.7621,19.0592,18.1033,18.3123,18.5017,18.6382,18.1179,18.2984,15.3817,18.2128,18.3608,18.5632,18.0347
16.1427,15.9634,14.3688,15.8532,16.3596,15.1662,15.8228,14.0159,15.0851,16.1518,16.4074,16.3907,16.3513,16.7653,16.62,16.5589,16.1552,16.3631,14.0687,17.464,18.2963,17.7033,17.6518,17.5516
